D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_18_656.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_18_656.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_18_656.jpg, 0, 0, 0, 8.126506E-05
D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_18_768.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_18_768.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_18_768.jpg, 0, 0, 0, 8.405972E-05
D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_18_877.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_18_877.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_18_877.jpg, 0, 0, 0, 7.810644E-05
D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_18_994.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_18_994.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_18_994.jpg, 0, 0, 0, 7.806085E-05
D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_19_100.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_19_100.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_19_100.jpg, 0, 0, 0, 7.890798E-05
D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_19_202.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_19_202.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_19_202.jpg, 0, 0, 0, 8.080076E-05
D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_19_308.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_19_308.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_19_308.jpg, 0, 0, 0, 8.018355E-05
D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_19_418.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_19_418.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_19_418.jpg, 0, 0, 0, 7.772365E-05
D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_19_528.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_19_528.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_19_528.jpg, 0, 0, 0, 7.937096E-05
D:\programs\saif\B\self.driving\Record\IMG\center_2019_06_16_12_12_19_632.jpg, D:\programs\saif\B\self.driving\Record\IMG\left_2019_06_16_12_12_19_632.jpg, D:\programs\saif\B\self.driving\Record\IMG\right_2019_06_16_12_12_19_632.jpg, 0, 0, 0, 7.855154E-05
